episode,total_reward,avg_delay,avg_energy,completion_ratio,completed,failed,generated,standalone,collaborative,actor_loss,critic_loss
255,-227.9552,2.2663,11.3462,0.64,16,9,25,3,22,-212.881,17807.1465
256,-180.874,1.4914,7.4746,0.64,16,9,25,2,23,-176.1137,11571.2979
257,-186.8849,1.8526,9.2762,0.75,18,6,24,2,22,-186.8165,12833.1328
258,-174.6441,1.6737,8.3815,0.75,18,6,24,3,21,-175.5343,11295.1787
259,-194.5821,1.7176,8.6016,0.64,16,9,25,3,22,-188.4113,13373.3662
260,-224.4278,2.2332,11.1797,0.68,17,8,25,4,21,-211.1528,17301.1992
261,-220.1213,2.2152,11.0898,0.76,19,6,25,6,19,-209.5401,17045.6758
262,-222.7661,2.3627,11.8249,0.7083,17,7,24,3,21,-206.9923,17647.2324
263,-204.0116,2.0724,10.3733,0.7083,17,7,24,4,20,-191.1577,14409.9639
264,-175.3384,1.7302,8.6637,0.6957,16,7,23,1,22,-168.1039,10894.5732
265,-180.973,1.8229,9.1271,0.6957,16,7,23,4,19,-176.3887,11768.041
266,-199.8766,1.7488,8.7626,0.6,15,10,25,3,22,-191.7795,13783.9951
267,-205.1619,1.9347,9.6887,0.68,17,8,25,6,19,-188.6059,14601.5039
268,-239.2279,2.4624,12.3252,0.68,17,8,25,5,20,-217.8063,18933.8984
269,-219.4725,2.0929,10.4814,0.6,15,10,25,8,17,-198.0513,15922.8262
270,-200.7256,1.8669,9.3449,0.68,17,8,25,5,20,-195.6854,14679.9629
271,-232.0901,2.3668,11.85,0.72,18,7,25,3,22,-222.4994,19250.4473
272,-214.551,2.0804,10.4152,0.68,17,8,25,2,23,-204.411,16770.3691
273,-209.6196,2.0043,10.0334,0.68,17,8,25,7,18,-194.121,15016.0791
274,-190.0592,1.7526,8.7774,0.72,18,7,25,4,21,-180.1827,12938.4287
275,-214.3962,2.0427,10.2313,0.64,16,9,25,1,24,-198.5952,16224.5742
276,-212.4871,2.0121,10.074,0.64,16,9,25,4,21,-193.5397,14667.2402
277,-220.7589,2.1763,10.8958,0.68,17,8,25,4,21,-212.0549,17257.6484
278,-230.884,2.3145,11.587,0.64,16,9,25,3,22,-210.8197,18220.6953
279,-232.932,2.3487,11.7552,0.64,16,9,25,3,22,-207.9801,18682.6016
280,-213.6433,2.0977,10.5012,0.72,18,7,25,4,21,-187.1033,14272.3633
281,-188.8657,1.6831,8.4271,0.68,17,8,25,5,20,-177.8981,11910.2871
282,-194.8778,2.0135,10.0778,0.6522,15,8,23,3,20,-186.8983,13662.8809
283,-200.0866,1.8568,9.2956,0.68,17,8,25,3,22,-187.5642,13603.8633
284,-231.8833,2.2888,11.4562,0.56,14,11,25,6,19,-210.0952,17619.3633
285,-242.6639,2.5083,12.5557,0.64,16,9,25,3,22,-221.5309,18878.7227
286,-202.8576,1.8536,9.2822,0.64,16,9,25,1,24,-190.1854,14416.874
287,-209.5036,1.963,9.8287,0.64,16,9,25,1,24,-191.3024,14667.5898
288,-184.932,1.6222,8.1226,0.68,17,8,25,1,24,-168.3992,11484.9189
289,-211.5962,2.0345,10.1866,0.68,17,8,25,4,21,-193.6696,14992.5791
290,-208.6801,1.9492,9.7611,0.64,16,9,25,2,23,-198.9006,14466.8701
291,-207.0776,1.9643,9.8369,0.68,17,8,25,2,23,-201.5077,14785.7529
292,-191.5867,1.6682,8.3553,0.64,16,9,25,1,24,-181.8179,12622.5146
293,-212.0534,2.0416,10.222,0.68,17,8,25,4,21,-198.9972,15162.5752
294,-218.3938,2.1091,10.5598,0.64,16,9,25,3,22,-203.6581,15983.25
295,-182.6462,2.2289,11.1595,0.8571,18,3,21,5,16,-170.7592,11847.9297
296,-205.3269,1.8942,9.4852,0.64,16,9,25,0,25,-184.4485,14204.1172
297,-221.541,2.1297,10.6626,0.6,15,10,25,1,24,-202.7344,16524.6641
298,-208.4117,2.1398,10.7142,0.7083,17,7,24,8,16,-187.4574,13748.3994
299,-221.0179,2.335,11.6899,0.7083,17,7,24,3,21,-195.4825,15820.332
300,-217.1989,2.2764,11.394,0.7083,17,7,24,5,19,-206.0754,16439.7852
301,-198.7046,1.8354,9.1886,0.68,17,8,25,0,25,-182.9218,13943.8711
302,-200.8382,1.7661,8.8467,0.6,15,10,25,5,20,-189.0172,13221.6191
303,-197.0812,1.8758,9.3943,0.625,15,9,24,2,22,-179.8451,12529.4619
304,-215.6491,2.2015,11.0231,0.625,15,9,24,3,21,-194.6307,15135.5322
305,-207.6204,1.9319,9.6739,0.64,16,9,25,4,21,-185.0508,14274.0273
306,-235.1479,2.3988,12.0096,0.68,17,8,25,4,21,-210.2283,18697.6484
307,-185.1367,1.8913,9.4695,0.6957,16,7,23,7,16,-170.1019,11244.8965
308,-215.196,2.0899,10.4653,0.68,17,8,25,5,20,-202.5478,15699.3125
309,-242.6271,2.5152,12.5882,0.68,17,8,25,7,18,-207.4065,18828.6816
310,-179.9273,1.4765,7.3964,0.64,16,9,25,5,20,-173.2661,10935.9961
311,-202.5804,1.8488,9.2595,0.64,16,9,25,2,23,-178.3085,12856.3076
312,-208.8216,1.9517,9.7726,0.64,16,9,25,4,21,-184.2589,13933.4199
313,-199.8069,1.8523,9.274,0.68,17,8,25,4,21,-169.0885,12283.0479
314,-234.7263,2.3781,11.9028,0.64,16,9,25,2,23,-209.516,18122.5742
